UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:22 ?        00:00:02 /sbin/init splash
root           2       0  0 16:22 ?        00:00:00 [kthreadd]
root           3       2  0 16:22 ?        00:00:00 [rcu_gp]
root           4       2  0 16:22 ?        00:00:00 [rcu_par_gp]
root           5       2  0 16:22 ?        00:00:00 [slub_flushwq]
root           6       2  0 16:22 ?        00:00:00 [netns]
root           8       2  0 16:22 ?        00:00:00 [kworker/0:0H-kblockd]
root          11       2  0 16:22 ?        00:00:00 [mm_percpu_wq]
root          12       2  0 16:22 ?        00:00:00 [rcu_tasks_kthread]
root          13       2  0 16:22 ?        00:00:00 [rcu_tasks_rude_kthread]
root          14       2  0 16:22 ?        00:00:00 [rcu_tasks_trace_kthread]
root          15       2  0 16:22 ?        00:00:00 [ksoftirqd/0]
root          16       2  0 16:22 ?        00:00:01 [rcu_preempt]
root          17       2  0 16:22 ?        00:00:00 [migration/0]
root          18       2  0 16:22 ?        00:00:00 [idle_inject/0]
root          19       2  0 16:22 ?        00:00:00 [cpuhp/0]
root          20       2  0 16:22 ?        00:00:00 [kdevtmpfs]
root          21       2  0 16:22 ?        00:00:00 [inet_frag_wq]
root          22       2  0 16:22 ?        00:00:00 [kauditd]
root          24       2  0 16:22 ?        00:00:00 [khungtaskd]
root          25       2  0 16:22 ?        00:00:00 [oom_reaper]
root          27       2  0 16:22 ?        00:00:00 [writeback]
root          28       2  0 16:22 ?        00:00:00 [kcompactd0]
root          29       2  0 16:22 ?        00:00:00 [ksmd]
root          30       2  0 16:22 ?        00:00:00 [khugepaged]
root          31       2  0 16:22 ?        00:00:00 [kintegrityd]
root          32       2  0 16:22 ?        00:00:00 [kblockd]
root          33       2  0 16:22 ?        00:00:00 [blkcg_punt_bio]
root          34       2  0 16:22 ?        00:00:00 [tpm_dev_wq]
root          35       2  0 16:22 ?        00:00:00 [ata_sff]
root          36       2  0 16:22 ?        00:00:00 [md]
root          37       2  0 16:22 ?        00:00:00 [md_bitmap]
root          38       2  0 16:22 ?        00:00:00 [edac-poller]
root          39       2  0 16:22 ?        00:00:00 [devfreq_wq]
root          40       2  0 16:22 ?        00:00:00 [watchdogd]
root          42       2  0 16:22 ?        00:00:00 [kswapd0]
root          43       2  0 16:22 ?        00:00:00 [ecryptfs-kthread]
root          44       2  0 16:22 ?        00:00:00 [kthrotld]
root          45       2  0 16:22 ?        00:00:00 [acpi_thermal_pm]
root          46       2  0 16:22 ?        00:00:00 [scsi_eh_0]
root          47       2  0 16:22 ?        00:00:00 [scsi_tmf_0]
root          48       2  0 16:22 ?        00:00:00 [scsi_eh_1]
root          49       2  0 16:22 ?        00:00:00 [scsi_tmf_1]
root          50       2  0 16:22 ?        00:00:00 [kworker/u2:3-events_unbound]
root          53       2  0 16:22 ?        00:00:00 [mld]
root          54       2  0 16:22 ?        00:00:00 [ipv6_addrconf]
root          62       2  0 16:22 ?        00:00:00 [kstrp]
root          64       2  0 16:22 ?        00:00:00 [kworker/u3:0]
root          68       2  0 16:22 ?        00:00:00 [charger_manager]
root         111       2  0 16:22 ?        00:00:00 [scsi_eh_2]
root         112       2  0 16:22 ?        00:00:00 [scsi_tmf_2]
root         114       2  0 16:22 ?        00:00:00 [kworker/0:2H-kblockd]
root         135       2  0 16:22 ?        00:00:00 [jbd2/sda3-8]
root         136       2  0 16:22 ?        00:00:00 [ext4-rsv-conver]
root         175       1  0 16:22 ?        00:00:00 /lib/systemd/systemd-journald
root         205       2  0 16:22 ?        00:00:00 [irq/18-vmwgfx]
root         206       2  0 16:22 ?        00:00:00 [ttm]
root         219       1  0 16:22 ?        00:00:00 /lib/systemd/systemd-udevd
root         294       2  0 16:22 ?        00:00:00 [cryptd]
systemd+     351       1  0 16:22 ?        00:00:01 /lib/systemd/systemd-oomd
systemd+     353       1  0 16:22 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+     355       1  0 16:22 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         541       1  0 16:23 ?        00:00:00 /usr/libexec/accounts-daemon
root         542       1  0 16:23 ?        00:00:00 /usr/sbin/acpid
avahi        545       1  0 16:23 ?        00:00:00 avahi-daemon: running [ajoshipura-VirtualBox.local]
root         547       1  0 16:23 ?        00:00:00 /usr/sbin/cron -f -P
message+     549       1  0 16:23 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         550       1  0 16:23 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root         559       1  0 16:23 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
